Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LINCOLN MKC,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KFMXT02.02HA,small SUV,5,19,25,22,4,No,412
LINCOLN MKC,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KFMXT02.02HA,small SUV,5,19,25,21,4,No,414
LINCOLN MKC,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KFMXT02.02HA,small SUV,5,19,25,22,4,No,412
LINCOLN MKC,2.3,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KFMXT02.32ED,small SUV,3,18,25,20,4,No,438
LINCOLN MKC,2.3,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KFMXT02.32ED,small SUV,3,18,25,20,4,No,438
LINCOLN MKT,3.5,6,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KFMXJ03.5VEP,standard SUV,3,15,21,17,3,No,523
LINCOLN MKT,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KFMXJ03.5VEP,standard SUV,3,15,21,17,3,No,523
LINCOLN MKT,3.7,6,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KFMXV03.7VE8,standard SUV,3,16,24,19,3,No,468
LINCOLN MKT,3.7,6,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,KFMXV03.7VE8,standard SUV,3,16,24,19,3,No,468
LINCOLN MKT Livery,3.7,6,Auto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KFMXV03.7VE8,special purpose,3,16,23,18,3,No,491
LINCOLN MKT Livery,3.7,6,Auto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KFMXV03.7VE8,special purpose,3,16,23,18,3,No,491
MAZDA CX-3,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTKXV02.0FNM,small car,3,29,34,31,7,Yes,289
MAZDA CX-3,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTKXV02.0ND1,small car,7,29,34,31,7,Yes,289
MAZDA CX-3,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTKXV02.0FNM,small car,3,27,32,29,6,No,303
MAZDA CX-3,2,4,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTKXV02.0ND1,small car,7,27,32,29,6,No,303
MINI Cooper Clubman,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,midsize car,7,24,33,28,6,No,321
MINI Cooper Clubman,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,midsize car,7,24,33,28,6,No,321
MINI Cooper Clubman,1.5,3,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,midsize car,7,24,32,27,6,No,324
MINI Cooper Clubman,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,midsize car,7,24,32,27,6,No,324
MINI Cooper Clubman All4,1.5,3,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,22,32,26,5,No,344
MINI Cooper Clubman All4,1.5,3,Man-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,22,32,26,5,No,344
MINI Cooper Clubman All4,1.5,3,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,23,31,26,5,No,341
MINI Cooper Clubman All4,1.5,3,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,23,31,26,5,No,341
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,small car,7,28,37,31,7,Yes,282
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,small car,7,28,37,31,7,Yes,282
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,small car,7,27,35,30,7,Yes,297
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,small car,7,27,35,30,7,Yes,297
MINI Cooper Countryman,1.5,3,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,24,33,28,6,No,321
MINI Cooper Countryman,1.5,3,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,24,33,28,6,No,321
MINI Cooper Countryman,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,24,32,27,6,No,324
MINI Cooper Countryman,1.5,3,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,24,32,27,6,No,324
MINI Cooper Countryman All4,1.5,3,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,22,32,26,5,No,344
MINI Cooper Countryman All4,1.5,3,Man-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,22,32,26,5,No,344
MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5M3X,midsize car,3,23,30,25,5,No,347
MINI Cooper Countryman All4,1.5,3,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,KBMXV01.5M3X,midsize car,3,23,30,25,5,No,347
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,small car,7,28,37,31,7,Yes,282
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,small car,7,28,38,32,7,Yes,282
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,small car,7,28,37,31,7,Yes,282
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,small car,7,28,38,32,7,Yes,282
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV01.5M36,small car,7,27,35,30,7,Yes,297
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV01.5M36,small car,7,27,35,30,7,Yes,297
MINI Cooper S Clubman,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,22,31,25,5,No,350
MINI Cooper S Clubman,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,22,31,25,5,No,350
MINI Cooper S Clubman,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,23,32,27,6,No,332
MINI Cooper S Clubman,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,23,32,27,6,No,332
MINI Cooper S Clubman All4,2,4,Man-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,21,30,24,5,No,366
MINI Cooper S Clubman All4,2,4,Man-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,21,30,24,5,No,366
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,23,31,26,5,No,345
MINI Cooper S Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,23,31,26,5,No,345
MINI Cooper S Convertible,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,small car,7,23,32,26,5,No,338
MINI Cooper S Convertible,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,small car,7,23,32,26,5,No,338
MINI Cooper S Convertible,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,small car,7,25,33,28,6,No,315
MINI Cooper S Convertible,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,small car,7,25,33,28,6,No,315
MINI Cooper S Countryman,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,23,32,27,6,No,332
MINI Cooper S Countryman,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,23,32,27,6,No,332
MINI Cooper S Countryman All4,2,4,Man-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,21,30,24,5,No,367
MINI Cooper S Countryman All4,2,4,Man-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,21,30,24,5,No,367
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,midsize car,7,22,31,26,5,No,346
MINI Cooper S Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,midsize car,7,22,31,26,5,No,346
MINI Cooper S Hardtop,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,small car,7,23,32,26,5,No,338
MINI Cooper S Hardtop,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,small car,7,23,32,26,5,No,338
MINI Cooper S Hardtop,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KBMXV02.0B46,small car,7,25,32,28,6,No,316
MINI Cooper S Hardtop,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KBMXV02.0B46,small car,7,25,32,28,6,No,316
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,KBMXV01.5H60,midsize car,3,28/63,27/66,27/65,9,Yes,223
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline/Electricity,CA,U2,California LEV-II ULEV,KBMXV01.5H60,midsize car,3,28/63,27/66,27/65,9,Yes,223
MINI JCW Countryman All4,2,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,midsize car,3,21,30,24,5,No,367
MINI JCW Countryman All4,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,midsize car,3,21,30,24,5,No,367
MINI JCW Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,midsize car,3,22,30,25,5,No,354
MINI JCW Countryman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,midsize car,3,22,30,25,5,No,354
MINI John Cooper Works Clubman All4,2,4,Man-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,midsize car,3,21,30,24,5,No,366
MINI John Cooper Works Clubman All4,2,4,Man-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,midsize car,3,21,30,24,5,No,366
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,midsize car,3,23,31,26,5,No,345
MINI John Cooper Works Clubman All4,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,midsize car,3,23,31,26,5,No,345
MINI John Cooper Works Convertible,2,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,small car,3,22,31,25,5,No,350
MINI John Cooper Works Convertible,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,small car,3,22,31,25,5,No,350
MINI John Cooper Works Convertible,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,small car,3,25,33,28,6,No,315
MINI John Cooper Works Convertible,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,small car,3,25,33,28,6,No,315
MINI John Cooper Works Hardtop,2,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,small car,3,23,32,26,5,No,338
MINI John Cooper Works Hardtop,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,small car,3,23,32,26,5,No,338
MINI John Cooper Works Hardtop,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KBMXV02.0M48,small car,3,25,32,28,6,No,316
MINI John Cooper Works Hardtop,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KBMXV02.0M48,small car,3,25,32,28,6,No,316
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,17,26,20,4,No,445
NISSAN 370Z,3.7,6,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,17,26,20,4,No,445
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,19,26,22,4,No,409
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,19,26,22,4,No,409
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,18,25,21,4,No,429
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,18,25,21,4,No,429
PORSCHE 911 Carrera,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,30,25,5,No,355
PORSCHE 911 Carrera,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,30,25,5,No,355
PORSCHE 911 Carrera,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,29,23,5,No,382
PORSCHE 911 Carrera,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,29,23,5,No,382
PORSCHE 911 Carrera 4,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,362
PORSCHE 911 Carrera 4,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,362
PORSCHE 911 Carrera 4,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,28,23,5,No,389
PORSCHE 911 Carrera 4,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,28,23,5,No,389
PORSCHE 911 Carrera 4 Cabriolet,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,28,24,5,No,370
PORSCHE 911 Carrera 4 Cabriolet,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,28,24,5,No,370
PORSCHE 911 Carrera 4 Cabriolet,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Carrera 4 Cabriolet,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Carrera 4 GTS,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera 4 GTS,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,414
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,414
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,25,22,4,No,402
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,25,22,4,No,402
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,419
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,419
PORSCHE 911 Carrera 4S,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,28,24,5,No,373
PORSCHE 911 Carrera 4S,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,28,24,5,No,373
PORSCHE 911 Carrera 4S,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,28,23,5,No,392
PORSCHE 911 Carrera 4S,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,28,23,5,No,392
PORSCHE 911 Carrera 4S Cabriolet,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,28,24,5,No,371
PORSCHE 911 Carrera 4S Cabriolet,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,28,24,5,No,371
PORSCHE 911 Carrera 4S Cabriolet,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,19,28,22,4,No,396
PORSCHE 911 Carrera 4S Cabriolet,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,19,28,22,4,No,396
PORSCHE 911 Carrera Cabriolet,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,365
PORSCHE 911 Carrera Cabriolet,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,365
PORSCHE 911 Carrera Cabriolet,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,29,23,5,No,388
PORSCHE 911 Carrera Cabriolet,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,29,23,5,No,388
PORSCHE 911 Carrera GTS,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,23,5,No,391
PORSCHE 911 Carrera GTS,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,23,5,No,391
PORSCHE 911 Carrera GTS,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,418
PORSCHE 911 Carrera GTS,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,418
PORSCHE 911 Carrera GTS Cabriolet,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera GTS Cabriolet,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera GTS Cabriolet,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,415
PORSCHE 911 Carrera GTS Cabriolet,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,415
PORSCHE 911 Carrera S,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,363
PORSCHE 911 Carrera S,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,363
PORSCHE 911 Carrera S,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,29,23,5,No,389
PORSCHE 911 Carrera S,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,29,23,5,No,389
PORSCHE 911 Carrera S Cabriolet,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,367
PORSCHE 911 Carrera S Cabriolet,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,367
PORSCHE 911 Carrera S Cabriolet,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,28,23,5,No,391
PORSCHE 911 Carrera S Cabriolet,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,28,23,5,No,391
PORSCHE 911 Carrera T,3,6,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,22,4,No,399
PORSCHE 911 Carrera T,3,6,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,22,4,No,399
PORSCHE 911 Carrera T,3,6,Man-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,16,25,19,3,No,461
PORSCHE 911 Carrera T,3,6,Man-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,16,25,19,3,No,461
PORSCHE 911 Targa 4,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,367
PORSCHE 911 Targa 4,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,367
PORSCHE 911 Targa 4,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Targa 4,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Targa 4 GTS,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,22,4,No,404
PORSCHE 911 Targa 4 GTS,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,22,4,No,404
PORSCHE 911 Targa 4 GTS,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,428
PORSCHE 911 Targa 4 GTS,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,428
PORSCHE 911 Targa 4S,3,6,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,27,24,5,No,376
PORSCHE 911 Targa 4S,3,6,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,27,24,5,No,376
PORSCHE 911 Targa 4S,3,6,Man-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,19,28,22,4,No,396
PORSCHE 911 Targa 4S,3,6,Man-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,19,28,22,4,No,396
PORSCHE Boxster,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KPRXV02.5B82,small car,3,22,29,25,5,No,353
PORSCHE Boxster,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KPRXV02.5B82,small car,3,22,29,25,5,No,353
PORSCHE Boxster,2,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KPRXV02.5B82,small car,3,21,28,24,5,No,369
PORSCHE Boxster,2,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KPRXV02.5B82,small car,3,21,28,24,5,No,369
PORSCHE Boxster GTS,2.5,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KPRXV02.5B82,small car,3,20,26,22,4,No,400
PORSCHE Boxster GTS,2.5,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KPRXV02.5B82,small car,3,20,26,22,4,No,400
PORSCHE Boxster GTS,2.5,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KPRXV02.5B82,small car,3,19,25,21,4,No,413
