CHROM-BIN_START-BIN_END,PI EU,CHROM-BIN_START-BIN_END,PI EA,CHROM-BIN_START-BIN_END,PI ch,CHROM-BIN_START-BIN_END,PI pk,CHROM-BIN_START-BIN_END,PI sylv,CHROM-BIN_START-BIN_END,PI tril
A01-1425001-1525000,3.02E-05,A01-1400001-1500000,6.87E-05,A01-1400001-1500000,6.79E-05,A01-1400001-1500000,6.23E-05,A01-1625001-1725000,4.38E-05,A01-1525001-1625000,8.72E-07
A01-1450001-1550000,2.04E-05,A01-1425001-1525000,4.39E-05,A01-1425001-1525000,3.83E-05,A01-1425001-1525000,4.59E-05,A01-1650001-1750000,4.38E-05,A01-1550001-1650000,5.00E-07
A01-1475001-1575000,1.12E-05,A01-1450001-1550000,3.31E-05,A01-1450001-1550000,2.55E-05,A01-1450001-1550000,3.20E-05,A01-1675001-1775000,4.78E-05,A01-1575001-1675000,5.00E-07
A01-1500001-1600000,1.12E-05,A01-1475001-1575000,1.84E-05,A01-1475001-1575000,1.45E-05,A01-1475001-1575000,1.71E-05,A01-1700001-1800000,4.17E-05,A01-1600001-1700000,5.00E-07
A01-1525001-1625000,1.46E-05,A01-1500001-1600000,1.84E-05,A01-1500001-1600000,1.45E-05,A01-1500001-1600000,1.71E-05,A01-1725001-1825000,1.75E-05,A01-1625001-1725000,1.00E-06
A01-1550001-1650000,8.12E-06,A01-1525001-1625000,2.68E-05,A01-1525001-1625000,2.15E-05,A01-1525001-1625000,2.43E-05,A01-1750001-1850000,1.75E-05,A01-1650001-1750000,5.00E-07
A01-1575001-1675000,4.83E-05,A01-1550001-1650000,1.36E-05,A01-1550001-1650000,7.77E-06,A01-1550001-1650000,1.45E-05,A01-1775001-1875000,1.35E-05,A01-1675001-1775000,5.00E-07
A01-1600001-1700000,7.18E-05,A01-1575001-1675000,5.24E-05,A01-1575001-1675000,3.91E-05,A01-1575001-1675000,5.78E-05,A01-1800001-1900000,4.29E-06,A01-1700001-1800000,1.73E-05
A01-1625001-1725000,9.06E-05,A01-1600001-1700000,8.11E-05,A01-1600001-1700000,5.75E-05,A01-1600001-1700000,8.24E-05,A01-1825001-1925000,2.64E-06,A01-1725001-1825000,2.04E-05
A01-1650001-1750000,8.59E-05,A01-1625001-1725000,0.000109539,A01-1625001-1725000,8.03E-05,A01-1625001-1725000,0.000111826,A01-1850001-1950000,2.64E-06,A01-1750001-1850000,2.04E-05
A01-1675001-1775000,4.86E-05,A01-1650001-1750000,0.000104305,A01-1650001-1750000,7.96E-05,A01-1650001-1750000,0.000104508,A01-1875001-1975000,5.27E-06,A01-1775001-1875000,2.09E-05
A01-1700001-1800000,6.19E-05,A01-1675001-1775000,7.06E-05,A01-1675001-1775000,5.37E-05,A01-1675001-1775000,6.58E-05,A01-1900001-2000000,4.29E-06,A01-1800001-1900000,4.09E-06
A01-1725001-1825000,5.00E-05,A01-1700001-1800000,7.58E-05,A01-1700001-1800000,6.94E-05,A01-1700001-1800000,7.44E-05,A01-1925001-2025000,4.29E-06,A01-1825001-1925000,1.45E-06
A01-1750001-1850000,5.00E-05,A01-1725001-1825000,5.18E-05,A01-1725001-1825000,5.07E-05,A01-1725001-1825000,4.76E-05,A01-1950001-2050000,4.29E-06,A01-1850001-1950000,1.45E-06
A01-1775001-1875000,4.95E-05,A01-1750001-1850000,5.18E-05,A01-1750001-1850000,5.07E-05,A01-1750001-1850000,4.76E-05,A01-1975001-2075000,1.65E-06,A01-1875001-1975000,9.49E-07
A01-1800001-1900000,1.45E-05,A01-1775001-1875000,5.21E-05,A01-1775001-1875000,5.29E-05,A01-1775001-1875000,4.51E-05,A01-2000001-2100000,5.27E-06,A01-1900001-2000000,5.50E-06
A01-1825001-1925000,3.19E-05,A01-1800001-1900000,2.21E-05,A01-1800001-1900000,2.20E-05,A01-1800001-1900000,1.62E-05,A01-2025001-2125000,7.91E-06,A01-1925001-2025000,4.55E-06
A01-1850001-1950000,3.19E-05,A01-1825001-1925000,3.86E-05,A01-1825001-1925000,3.47E-05,A01-1825001-1925000,3.53E-05,A01-2050001-2150000,1.71E-05,A01-1950001-2050000,4.55E-06
A01-1875001-1975000,3.69E-05,A01-1850001-1950000,3.86E-05,A01-1850001-1950000,3.47E-05,A01-1850001-1950000,3.53E-05,A01-2075001-2175000,1.98E-05,A01-1975001-2075000,4.55E-06
A01-1900001-2000000,5.59E-05,A01-1875001-1975000,3.96E-05,A01-1875001-1975000,3.48E-05,A01-1875001-1975000,3.83E-05,A01-2100001-2200000,1.45E-05,A01-2050001-2150000,5.00E-07
A01-1925001-2025000,2.99E-05,A01-1900001-2000000,5.36E-05,A01-1900001-2000000,5.03E-05,A01-1900001-2000000,4.96E-05,A01-2125001-2225000,1.92E-05,A01-2075001-2175000,5.00E-07
A01-1950001-2050000,2.99E-05,A01-1925001-2025000,3.28E-05,A01-1925001-2025000,3.92E-05,A01-1925001-2025000,2.17E-05,A01-2150001-2250000,1.99E-05,A01-2100001-2200000,5.00E-07
A01-1975001-2075000,2.25E-05,A01-1950001-2050000,3.28E-05,A01-1950001-2050000,3.92E-05,A01-1950001-2050000,2.17E-05,A01-2175001-2275000,1.73E-05,A01-2125001-2225000,1.00E-06
A01-2000001-2100000,9.66E-06,A01-1975001-2075000,2.64E-05,A01-1975001-2075000,3.16E-05,A01-1975001-2075000,1.66E-05,A01-2200001-2300000,2.60E-05,A01-2150001-2250000,3.37E-06
A01-2025001-2125000,2.00E-05,A01-2000001-2100000,1.94E-05,A01-2000001-2100000,2.46E-05,A01-2000001-2100000,1.00E-05,A01-2225001-2325000,5.84E-05,A01-2175001-2275000,3.37E-06
A01-2050001-2150000,3.37E-05,A01-2025001-2125000,2.06E-05,A01-2025001-2125000,2.28E-05,A01-2025001-2125000,1.79E-05,A01-2250001-2350000,5.92E-05,A01-2200001-2300000,4.29E-06
A01-2075001-2175000,3.76E-05,A01-2050001-2150000,3.65E-05,A01-2050001-2150000,4.18E-05,A01-2050001-2150000,3.05E-05,A01-2275001-2375000,5.92E-05,A01-2225001-2325000,2.20E-05
A01-2100001-2200000,2.97E-05,A01-2075001-2175000,4.27E-05,A01-2075001-2175000,4.96E-05,A01-2075001-2175000,3.47E-05,A01-2300001-2400000,5.33E-05,A01-2250001-2350000,1.91E-05
A01-2125001-2225000,2.62E-05,A01-2100001-2200000,3.19E-05,A01-2100001-2200000,3.77E-05,A01-2100001-2200000,2.57E-05,A01-2325001-2425000,1.36E-05,A01-2275001-2375000,1.91E-05
A01-2150001-2250000,2.10E-05,A01-2125001-2225000,3.74E-05,A01-2125001-2225000,3.62E-05,A01-2125001-2225000,3.27E-05,A01-2350001-2450000,2.86E-06,A01-2300001-2400000,2.55E-05
A01-2175001-2275000,1.71E-05,A01-2150001-2250000,4.18E-05,A01-2150001-2250000,3.88E-05,A01-2150001-2250000,2.69E-05,A01-2375001-2475000,2.86E-06,A01-2325001-2425000,2.07E-05
A01-2200001-2300000,4.04E-05,A01-2175001-2275000,3.56E-05,A01-2175001-2275000,3.10E-05,A01-2175001-2275000,2.27E-05,A01-2425001-2525000,1.21E-05,A01-2350001-2450000,2.07E-05
A01-2225001-2325000,0.000137463,A01-2200001-2300000,5.69E-05,A01-2200001-2300000,5.51E-05,A01-2200001-2300000,4.01E-05,A01-2450001-2550000,3.73E-05,A01-2375001-2475000,2.07E-05
A01-2250001-2350000,0.000133099,A01-2225001-2325000,7.90E-05,A01-2225001-2325000,7.16E-05,A01-2225001-2325000,6.79E-05,A01-2475001-2575000,5.29E-05,A01-2400001-2500000,1.34E-05
A01-2275001-2375000,0.000133099,A01-2250001-2350000,6.05E-05,A01-2250001-2350000,5.27E-05,A01-2250001-2350000,6.18E-05,A01-2500001-2600000,6.02E-05,A01-2425001-2525000,5.99E-06
A01-2300001-2400000,0.000112942,A01-2275001-2375000,6.05E-05,A01-2275001-2375000,5.27E-05,A01-2275001-2375000,6.18E-05,A01-2525001-2625000,4.93E-05,A01-2450001-2550000,1.99E-05
A01-2325001-2425000,9.31E-06,A01-2300001-2400000,5.64E-05,A01-2300001-2400000,4.92E-05,A01-2300001-2400000,5.51E-05,A01-2550001-2650000,2.99E-05,A01-2475001-2575000,2.93E-05
A01-2350001-2450000,5.24E-06,A01-2325001-2425000,2.07E-05,A01-2325001-2425000,2.69E-05,A01-2325001-2425000,1.15E-05,A01-2575001-2675000,1.43E-05,A01-2500001-2600000,3.19E-05
A01-2375001-2475000,5.24E-06,A01-2350001-2450000,1.89E-05,A01-2350001-2450000,2.42E-05,A01-2350001-2450000,1.08E-05,A01-2600001-2700000,6.92E-06,A01-2525001-2625000,3.02E-05
A01-2400001-2500000,2.07E-06,A01-2375001-2475000,1.89E-05,A01-2375001-2475000,2.42E-05,A01-2375001-2475000,1.08E-05,A01-2625001-2725000,1.70E-05,A01-2550001-2650000,2.77E-05
A01-2425001-2525000,6.48E-06,A01-2400001-2500000,1.66E-06,A01-2400001-2500000,3.49E-06,A01-2425001-2525000,1.70E-05,A01-2650001-2750000,1.43E-05,A01-2575001-2675000,1.84E-05
A01-2450001-2550000,2.45E-05,A01-2425001-2525000,2.35E-05,A01-2425001-2525000,2.31E-05,A01-2450001-2550000,4.41E-05,A01-2675001-2775000,1.43E-05,A01-2600001-2700000,1.57E-05
A01-2475001-2575000,3.15E-05,A01-2450001-2550000,6.04E-05,A01-2450001-2550000,6.48E-05,A01-2475001-2575000,5.61E-05,A01-2700001-2800000,1.43E-05,A01-2625001-2725000,1.15E-05
A01-2500001-2600000,3.79E-05,A01-2475001-2575000,7.77E-05,A01-2475001-2575000,8.48E-05,A01-2500001-2600000,6.97E-05,A01-2725001-2825000,2.97E-06,A01-2650001-2750000,2.00E-06
A01-2525001-2625000,3.81E-05,A01-2500001-2600000,9.03E-05,A01-2500001-2600000,9.48E-05,A01-2525001-2625000,6.27E-05,A01-2750001-2850000,9.67E-06,A01-2675001-2775000,2.00E-06
A01-2550001-2650000,6.50E-05,A01-2525001-2625000,7.66E-05,A01-2525001-2625000,7.98E-05,A01-2550001-2650000,7.16E-05,A01-2775001-2875000,9.67E-06,A01-2700001-2800000,4.94E-06
A01-2575001-2675000,6.34E-05,A01-2550001-2650000,7.57E-05,A01-2550001-2650000,7.26E-05,A01-2575001-2675000,6.52E-05,A01-2800001-2900000,1.43E-05,A01-2725001-2825000,4.94E-06
A01-2600001-2700000,5.92E-05,A01-2575001-2675000,6.72E-05,A01-2575001-2675000,6.04E-05,A01-2600001-2700000,5.60E-05,A01-2825001-2925000,1.43E-05,A01-2750001-2850000,3.91E-06
A01-2625001-2725000,7.44E-05,A01-2600001-2700000,5.77E-05,A01-2600001-2700000,5.13E-05,A01-2625001-2725000,5.72E-05,A01-2850001-2950000,4.62E-06,A01-2775001-2875000,3.91E-06
A01-2650001-2750000,3.05E-05,A01-2625001-2725000,6.69E-05,A01-2625001-2725000,6.61E-05,A01-2650001-2750000,2.51E-05,A01-2875001-2975000,1.48E-05,A01-2800001-2900000,1.47E-06
A01-2675001-2775000,2.52E-05,A01-2650001-2750000,3.43E-05,A01-2650001-2750000,3.43E-05,A01-2675001-2775000,1.94E-05,A01-2900001-3000000,1.68E-05,A01-2825001-2925000,1.47E-06
A01-2700001-2800000,2.89E-05,A01-2675001-2775000,2.54E-05,A01-2675001-2775000,2.65E-05,A01-2700001-2800000,2.64E-05,A01-2925001-3025000,2.78E-05,A01-2850001-2950000,1.09E-05
A01-2725001-2825000,6.89E-06,A01-2700001-2800000,3.67E-05,A01-2700001-2800000,4.25E-05,A01-2725001-2825000,1.52E-05,A01-2950001-3050000,2.82E-05,A01-2875001-2975000,1.43E-05
A01-2750001-2850000,9.52E-06,A01-2725001-2825000,1.77E-05,A01-2725001-2825000,1.95E-05,A01-2750001-2850000,1.41E-05,A01-2975001-3075000,1.80E-05,A01-2900001-3000000,1.43E-05
A01-2775001-2875000,9.52E-06,A01-2750001-2850000,2.10E-05,A01-2750001-2850000,2.38E-05,A01-2775001-2875000,1.41E-05,A01-3000001-3100000,1.29E-05,A01-2925001-3025000,1.43E-05
A01-2800001-2900000,3.02E-05,A01-2775001-2875000,2.10E-05,A01-2775001-2875000,2.38E-05,A01-2800001-2900000,3.96E-05,A01-3025001-3125000,1.87E-06,A01-2950001-3050000,3.85E-06
A01-2825001-2925000,3.02E-05,A01-2800001-2900000,4.90E-05,A01-2800001-2900000,4.68E-05,A01-2825001-2925000,3.96E-05,A01-3050001-3150000,1.43E-06,A01-2975001-3075000,5.00E-07
A01-2850001-2950000,4.48E-05,A01-2825001-2925000,4.90E-05,A01-2825001-2925000,4.68E-05,A01-2850001-2950000,4.08E-05,A01-3075001-3175000,1.43E-06,A01-3075001-3175000,1.73E-06
A01-2875001-2975000,5.42E-05,A01-2850001-2950000,5.35E-05,A01-2850001-2950000,5.80E-05,A01-2875001-2975000,4.65E-05,A01-3250001-3350000,8.79E-06,A01-3100001-3200000,5.51E-06
A01-2900001-3000000,4.74E-05,A01-2875001-2975000,5.99E-05,A01-2875001-2975000,6.51E-05,A01-2900001-3000000,3.47E-05,A01-3275001-3375000,2.42E-05,A01-3125001-3225000,5.51E-06
A01-2925001-3025000,6.22E-05,A01-2900001-3000000,4.34E-05,A01-2900001-3000000,4.90E-05,A01-2925001-3025000,3.79E-05,A01-3300001-3400000,2.42E-05,A01-3150001-3250000,9.46E-06
A01-2950001-3050000,4.83E-05,A01-2925001-3025000,4.86E-05,A01-2925001-3025000,5.48E-05,A01-2950001-3050000,4.48E-05,A01-3325001-3425000,2.42E-05,A01-3175001-3275000,7.73E-06
A01-2975001-3075000,4.22E-05,A01-2950001-3050000,4.72E-05,A01-2950001-3050000,4.23E-05,A01-2975001-3075000,4.41E-05,A01-3350001-3450000,1.54E-05,A01-3200001-3300000,3.95E-06
A01-3000001-3100000,3.38E-05,A01-2975001-3075000,4.57E-05,A01-2975001-3075000,3.98E-05,A01-3000001-3100000,2.64E-05,A01-3400001-3500000,5.27E-06,A01-3225001-3325000,3.95E-06
A01-3025001-3125000,1.98E-05,A01-3000001-3100000,3.03E-05,A01-3000001-3100000,2.79E-05,A01-3025001-3125000,2.47E-05,A01-3425001-3525000,5.62E-05,A01-3275001-3375000,1.42E-06
A01-3050001-3150000,1.55E-05,A01-3025001-3125000,2.95E-05,A01-3025001-3125000,2.69E-05,A01-3050001-3150000,1.41E-05,A01-3450001-3550000,5.62E-05,A01-3300001-3400000,1.42E-06
A01-3075001-3175000,1.81E-05,A01-3050001-3150000,1.98E-05,A01-3050001-3150000,2.12E-05,A01-3075001-3175000,1.04E-05,A01-3475001-3575000,5.62E-05,A01-3325001-3425000,1.42E-06
A01-3100001-3200000,1.08E-05,A01-3075001-3175000,1.96E-05,A01-3075001-3175000,2.28E-05,A01-3100001-3200000,6.88E-06,A01-3500001-3600000,5.09E-05,A01-3350001-3450000,1.42E-06
A01-3125001-3225000,1.71E-05,A01-3100001-3200000,1.75E-05,A01-3100001-3200000,2.07E-05,A01-3125001-3225000,5.64E-06,A01-3525001-3625000,4.40E-06,A01-3400001-3500000,1.27E-05
A01-3150001-3250000,1.73E-05,A01-3125001-3225000,1.33E-05,A01-3125001-3225000,1.58E-05,A01-3150001-3250000,5.64E-06,A01-3550001-3650000,4.40E-06,A01-3425001-3525000,2.93E-05
A01-3175001-3275000,1.13E-05,A01-3150001-3250000,1.33E-05,A01-3150001-3250000,1.58E-05,A01-3175001-3275000,4.25E-06,A01-3575001-3675000,4.40E-06,A01-3450001-3550000,2.93E-05
A01-3200001-3300000,7.35E-06,A01-3175001-3275000,8.63E-06,A01-3175001-3275000,9.59E-06,A01-3200001-3300000,3.57E-07,A01-3600001-3700000,4.40E-06,A01-3475001-3575000,2.93E-05
A01-3225001-3325000,2.38E-07,A01-3200001-3300000,1.89E-07,A01-3250001-3350000,9.84E-06,A01-3250001-3350000,6.21E-06,A01-3625001-3725000,4.95E-06,A01-3500001-3600000,1.66E-05
A01-3250001-3350000,2.08E-06,A01-3250001-3350000,8.26E-06,A01-3275001-3375000,2.53E-05,A01-3275001-3375000,7.62E-06,A01-3650001-3750000,9.23E-06,A01-3525001-3625000,1.85E-06
A01-3275001-3375000,2.04E-05,A01-3275001-3375000,1.79E-05,A01-3300001-3400000,2.53E-05,A01-3300001-3400000,7.97E-06,A01-3675001-3775000,9.23E-06,A01-3550001-3650000,1.85E-06
A01-3300001-3400000,2.37E-05,A01-3300001-3400000,1.81E-05,A01-3325001-3425000,2.53E-05,A01-3325001-3425000,7.97E-06,A01-3700001-3800000,9.23E-06,A01-3575001-3675000,1.85E-06
A01-3325001-3425000,2.37E-05,A01-3325001-3425000,1.81E-05,A01-3350001-3450000,1.54E-05,A01-3350001-3450000,1.76E-06,A01-3725001-3825000,6.04E-06,A01-3600001-3700000,1.85E-06
