CHROM-BIN_START-BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST
A01-2600001-2700000,20,0.46468,0.36358
A01-2625001-2725000,25,0.381648,0.281182
A01-2650001-2750000,12,0.344684,0.230511
A01-2675001-2775000,10,0.258013,0.174842
A01-2700001-2800000,13,0.201425,0.114631
A01-2725001-2825000,6,0.464366,0.180745
A01-2750001-2850000,6,0.290034,0.158061
A01-2775001-2875000,6,0.290034,0.158061
A01-2800001-2900000,14,0.591105,0.431695
A01-2825001-2925000,14,0.591105,0.431695
A01-2850001-2950000,20,0.503559,0.306111
A01-2875001-2975000,23,0.481927,0.312933
A01-2900001-3000000,16,0.214801,0.151834
A01-2925001-3025000,20,0.203632,0.154413
A01-2950001-3050000,15,0.217774,0.158672
A01-2975001-3075000,13,0.184392,0.125475
A01-3000001-3100000,13,0.187911,0.107759
A01-3025001-3125000,10,0.405406,0.166109
A01-3050001-3150000,7,0.470581,0.236641
A01-3075001-3175000,8,0.427772,0.215512
A01-3100001-3200000,6,0.499859,0.220918
A01-3125001-3225000,7,0.110404,0.0467329
A01-3150001-3250000,8,0.108014,0.03567
A01-3175001-3275000,6,0.0137855,-0.0180997
A01-3200001-3300000,3,-0.0136638,-0.0403399
A01-3225001-3325000,1,-0.0417701,-0.0417701
A01-3250001-3350000,2,0.0931697,0.0981567
A01-3275001-3375000,7,0.0392044,0.0505649
A01-3300001-3400000,8,0.055904,0.0643416
A01-3325001-3425000,8,0.055904,0.0643416
A01-3350001-3450000,6,0.0486755,0.0530699
A01-3375001-3475000,1,0.160778,0.160778
A01-3400001-3500000,4,0.133134,0.0490143
A01-3425001-3525000,26,0.211031,0.136148
A01-3450001-3550000,26,0.211031,0.136148
A01-3475001-3575000,26,0.211031,0.136148
A01-3500001-3600000,22,0.217838,0.15199
A01-3525001-3625000,4,0.246972,0.221517
A01-3550001-3650000,4,0.246972,0.221517
A01-3575001-3675000,4,0.246972,0.221517
A01-3600001-3700000,4,0.246972,0.221517
A01-3625001-3725000,1,0.815479,0.815479
A01-3650001-3750000,3,0.859939,0.857738
A01-3675001-3775000,3,0.859939,0.857738
A01-3700001-3800000,3,0.859939,0.857738
A01-3725001-3825000,3,0.688163,0.630311
A01-3750001-3850000,2,0.536365,0.429641
A01-3775001-3875000,6,0.409719,0.266311
A01-3800001-3900000,8,0.418026,0.25156
A01-3825001-3925000,7,0.455586,0.268468
A01-3850001-3950000,8,0.307997,0.141756
A01-3875001-3975000,4,0.316928,0.0988646
A01-3900001-4000000,2,-0.00502401,-0.00957458
A01-3925001-4025000,8,0.142933,0.116301
A01-3950001-4050000,17,0.252835,0.242785
A01-3975001-4075000,18,0.270137,0.254692
A01-4000001-4100000,20,0.256727,0.225577
A01-4025001-4125000,14,0.300087,0.254428
A01-4050001-4150000,3,0.284523,0.128066
A01-4075001-4175000,6,0.0970417,0.0508254
A01-4100001-4200000,7,0.227303,0.171863
A01-4125001-4225000,14,0.206431,0.122878
A01-4150001-4250000,14,0.206431,0.122878
A01-4175001-4275000,10,0.227265,0.134243
A01-4200001-4300000,7,0.168546,0.0738938
A01-4250001-4350000,7,0.479009,0.334656
A01-4275001-4375000,7,0.479009,0.334656
A01-4300001-4400000,13,0.485667,0.365693
A01-4325001-4425000,13,0.485667,0.365693
A01-4350001-4450000,6,0.492075,0.401903
A01-4375001-4475000,6,0.492075,0.401903
A01-4450001-4550000,3,0.111633,0.112144
A01-4475001-4575000,3,0.111633,0.112144
A01-4500001-4600000,5,0.106658,0.100429
A01-4525001-4625000,5,0.106658,0.100429
A01-4550001-4650000,2,0.0983177,0.0828567
A01-4575001-4675000,2,0.0983177,0.0828567
A01-4650001-4750000,15,0.554153,0.279917
A01-4675001-4775000,15,0.554153,0.279917
A01-4700001-4800000,15,0.554153,0.279917
A01-4725001-4825000,15,0.554153,0.279917
A01-4775001-4875000,1,-0.0206464,-0.0206464
A01-4800001-4900000,8,0.347837,0.201373
A01-4825001-4925000,8,0.347837,0.201373
A01-4850001-4950000,13,0.539311,0.341921
A01-4875001-4975000,12,0.548351,0.372135
A01-4900001-5000000,5,0.702222,0.566797
A01-4925001-5025000,5,0.702222,0.566797
A01-5000001-5100000,10,0.444672,0.166577
A01-5025001-5125000,19,0.440112,0.174025
A01-5050001-5150000,19,0.440112,0.174025
A01-5075001-5175000,21,0.406716,0.156954
A01-5100001-5200000,11,0.374773,0.148206
A01-5125001-5225000,2,0.00729351,-0.0052267
A01-5150001-5250000,2,0.00729351,-0.0052267
A01-5175001-5275000,3,-0.00931808,-0.0120029
A01-5200001-5300000,25,0.199586,0.126345
A01-5225001-5325000,25,0.199586,0.126345
A01-5250001-5350000,26,0.210684,0.137856
A01-5275001-5375000,23,0.22894,0.157403
A01-5300001-5400000,1,0.42563,0.42563
A01-5325001-5425000,10,0.305876,0.266101
A01-5350001-5450000,9,0.290513,0.248376
A01-5375001-5475000,14,0.250552,0.223614
A01-5400001-5500000,14,0.250552,0.223614
A01-5425001-5525000,5,0.184064,0.179042
A01-5450001-5550000,5,0.184064,0.179042
A01-5500001-5600000,10,0.22004,0.121441
A01-5525001-5625000,13,0.203872,0.120333
A01-5550001-5650000,13,0.203872,0.120333
A01-5575001-5675000,13,0.203872,0.120333
A01-5600001-5700000,3,0.139325,0.116637
A01-5675001-5775000,3,0.596341,0.612597
A01-5700001-5800000,3,0.596341,0.612597
A01-5725001-5825000,12,0.28392,0.208835
A01-5750001-5850000,13,0.274074,0.195765
A01-5775001-5875000,10,0.117192,0.0707154
A01-5800001-5900000,21,0.103499,0.0698661
A01-5825001-5925000,16,0.100477,0.0858393
A01-5850001-5950000,15,0.102971,0.0889668
A01-5875001-5975000,15,0.102971,0.0889668
A01-5900001-6000000,4,0.129644,0.143617
A01-5950001-6050000,2,0.524673,0.465121
A01-5975001-6075000,3,0.503033,0.30317
A01-6000001-6100000,6,0.360416,0.222163
A01-6025001-6125000,6,0.360416,0.222163
A01-6050001-6150000,4,0.187288,0.100684
A01-6075001-6175000,9,0.341133,0.289884
A01-6100001-6200000,6,0.411242,0.364248
A01-6125001-6225000,6,0.411242,0.364248
A01-6150001-6250000,6,0.411242,0.364248
A01-6200001-6300000,8,0.0716968,0.0522312
A01-6225001-6325000,8,0.0716968,0.0522312
A01-6250001-6350000,8,0.0716968,0.0522312
A01-6275001-6375000,12,0.108727,0.0795143
A01-6300001-6400000,4,0.150325,0.134081
A01-6325001-6425000,4,0.150325,0.134081
A01-6350001-6450000,7,0.306427,0.200735
A01-6375001-6475000,5,0.440999,0.257365
A01-6400001-6500000,5,0.440999,0.257365
A01-6425001-6525000,5,0.440999,0.257365
A01-6450001-6550000,2,0.380829,0.209
A01-6475001-6575000,14,0.557151,0.354681
A01-6500001-6600000,14,0.557151,0.354681
A01-6525001-6625000,14,0.557151,0.354681
A01-6550001-6650000,14,0.557151,0.354681
A01-6600001-6700000,7,0.194981,0.257511
A01-6625001-6725000,10,0.247953,0.293643
A01-6650001-6750000,10,0.247953,0.293643
A01-6675001-6775000,10,0.247953,0.293643
A01-6700001-6800000,7,0.420733,0.303358
A01-6725001-6825000,4,0.475648,0.247411
A01-6750001-6850000,4,0.475648,0.247411
A01-6775001-6875000,4,0.475648,0.247411
A01-6800001-6900000,17,0.126337,0.0719744
A01-6825001-6925000,17,0.126337,0.0719744
A01-6850001-6950000,17,0.126337,0.0719744
A01-6875001-6975000,17,0.126337,0.0719744
A01-6975001-7075000,16,0.363415,0.199176
A01-7000001-7100000,19,0.394396,0.202369
A01-7025001-7125000,19,0.394396,0.202369
A01-7050001-7150000,19,0.394396,0.202369
A01-7075001-7175000,6,0.403589,0.177795
A01-7100001-7200000,3,0.167812,0.136186
A01-7125001-7225000,3,0.167812,0.136186
A01-7150001-7250000,5,0.156599,0.104215
A01-7175001-7275000,2,0.136397,0.0562586
A01-7200001-7300000,2,0.136397,0.0562586
A01-7225001-7325000,2,0.136397,0.0562586
A01-7375001-7475000,4,0.350012,0.282584
A01-7400001-7500000,7,0.258667,0.174184
A01-7425001-7525000,16,0.224225,0.120953
A01-7450001-7550000,23,0.296764,0.139431
A01-7475001-7575000,22,0.260616,0.0939363
A01-7500001-7600000,19,0.298255,0.104087
A01-7525001-7625000,17,0.375188,0.183906
A01-7550001-7650000,10,0.324624,0.185472
A01-7575001-7675000,7,0.358837,0.266387
A01-7600001-7700000,9,0.315578,0.232589
A01-7625001-7725000,6,0.0871866,0.0710349
A01-7650001-7750000,11,0.126606,0.113823
A01-7675001-7775000,15,0.180784,0.131782
A01-7700001-7800000,15,0.178881,0.129392
A01-7725001-7825000,19,0.29774,0.191829
A01-7750001-7850000,14,0.348257,0.20135
A01-7775001-7875000,11,0.3677,0.222153
A01-7800001-7900000,12,0.380995,0.215851
A01-7825001-7925000,6,0.230035,0.138164
A01-7850001-7950000,6,0.230035,0.138164
A01-7875001-7975000,14,0.320446,0.211713
A01-7900001-8000000,21,0.333639,0.207328
A01-7925001-8025000,24,0.30754,0.18317
A01-7950001-8050000,32,0.317902,0.174371
A01-7975001-8075000,24,0.313175,0.160494
A01-8000001-8100000,14,0.298177,0.15162
A01-8025001-8125000,13,0.407163,0.223528
A01-8050001-8150000,26,0.320547,0.223303
A01-8075001-8175000,28,0.313361,0.218805
A01-8100001-8200000,28,0.313361,0.218805
A01-8125001-8225000,24,0.302412,0.215038
A01-8150001-8250000,3,0.400236,0.359035
A01-8325001-8425000,8,0.421879,0.340223
A01-8350001-8450000,10,0.487754,0.403246
A01-8375001-8475000,10,0.487754,0.403246
A01-8400001-8500000,15,0.55093,0.466548
A01-8425001-8525000,7,0.675097,0.610921
A01-8450001-8550000,11,0.679465,0.446519
A01-8475001-8575000,17,0.583147,0.426382
A01-8500001-8600000,12,0.529274,0.356894
A01-8525001-8625000,12,0.529274,0.356894
A01-8550001-8650000,9,0.408716,0.336949
A01-8575001-8675000,12,0.419904,0.284925
A01-8600001-8700000,13,0.415843,0.290375
A01-8625001-8725000,13,0.415843,0.290375
A01-8650001-8750000,10,0.426575,0.307911
A01-8675001-8775000,1,0.355779,0.355779
A01-8725001-8825000,6,0.420403,0.197627
A01-8750001-8850000,6,0.420403,0.197627
A01-8775001-8875000,6,0.420403,0.197627
A01-8800001-8900000,6,0.420403,0.197627
A01-8950001-9050000,4,0.682924,0.628018
A01-8975001-9075000,7,0.609213,0.436805
A01-9000001-9100000,7,0.609213,0.436805
A01-9025001-9125000,7,0.609213,0.436805
A01-9050001-9150000,3,0.392213,0.181855
A01-9075001-9175000,9,0.238157,0.190813
A01-9100001-9200000,10,0.380247,0.264965
A01-9125001-9225000,15,0.361496,0.231264
A01-9150001-9250000,15,0.361496,0.231264
A01-9175001-9275000,27,0.518023,0.314304
A01-9200001-9300000,26,0.492018,0.290534
A01-9225001-9325000,22,0.51082,0.311176
A01-9250001-9350000,25,0.490029,0.267815
A01-9275001-9375000,4,0.0200685,-0.00980012
A01-9300001-9400000,4,0.0200685,-0.00980012
A01-9325001-9425000,5,0.118926,0.0338056
A01-9350001-9450000,6,0.406694,0.311988
A01-9375001-9475000,6,0.406694,0.311988
A01-9400001-9500000,6,0.406694,0.311988
A01-9425001-9525000,9,0.433965,0.289162
A01-9450001-9550000,5,0.42049,0.21001
A01-9475001-9575000,5,0.42049,0.21001
A01-9500001-9600000,5,0.42049,0.21001
A01-9575001-9675000,5,0.412402,0.281701
A01-9600001-9700000,5,0.412402,0.281701
A01-9625001-9725000,5,0.412402,0.281701
A01-9650001-9750000,11,0.284543,0.134971
A01-9675001-9775000,6,0.0354123,0.0126954
A01-9700001-9800000,12,0.0634152,0.0251754
A01-9725001-9825000,12,0.0634152,0.0251754
A01-9750001-9850000,6,0.0893278,0.0376554
A01-9775001-9875000,22,0.354056,0.20265
A01-9800001-9900000,16,0.399204,0.264523
A01-9825001-9925000,16,0.399204,0.264523
A01-9850001-9950000,16,0.399204,0.264523
A01-9875001-9975000,7,0.135533,0.0829424
A01-9900001-10000000,7,0.135533,0.0829424
A01-9925001-10025000,14,0.201076,0.0822659
A01-9950001-10050000,14,0.201076,0.0822659
A01-9975001-10075000,7,0.290976,0.0815894
A01-10000001-10100000,9,0.245355,0.0927201
A01-10025001-10125000,2,0.150738,0.131678
A01-10050001-10150000,5,0.366984,0.268635
A01-10075001-10175000,5,0.366984,0.268635
A01-10100001-10200000,8,0.297058,0.186658
A01-10125001-10225000,9,0.291802,0.162831
A01-10150001-10250000,6,0.135947,0.0642766
A01-10175001-10275000,6,0.135947,0.0642766
A01-10200001-10300000,2,-0.056475,-0.0449861
A01-10225001-10325000,4,0.291395,0.0908085
A01-10250001-10350000,14,0.229985,0.130532
A01-10275001-10375000,14,0.229985,0.130532
A01-10300001-10400000,15,0.241462,0.139076
A01-10325001-10425000,13,0.17317,0.123519
A01-10350001-10450000,3,0.0574948,0.0471803
A01-10375001-10475000,3,0.0574948,0.0471803
A01-10400001-10500000,2,0.35297,0.363623
A01-10425001-10525000,1,0.782212,0.782212
A01-10450001-10550000,14,0.589361,0.565212
A01-10475001-10575000,14,0.589361,0.565212
A01-10500001-10600000,13,0.574831,0.54852
A01-10525001-10625000,13,0.574831,0.54852
A01-10550001-10650000,8,0.436011,0.410746
A01-10575001-10675000,9,0.431152,0.360417
A01-10600001-10700000,9,0.431152,0.360417
A01-10625001-10725000,10,0.412635,0.35756
A01-10650001-10750000,2,0.315968,0.144818
A01-10675001-10775000,1,0.331845,0.331845
A01-10700001-10800000,12,0.292189,0.241694
A01-10725001-10825000,11,0.287003,0.233498
A01-10750001-10850000,11,0.287003,0.233498
A01-10775001-10875000,11,0.287003,0.233498
A01-10825001-10925000,1,-0.0222465,-0.0222465
A01-10850001-10950000,3,0.0928781,0.0277577
A01-10875001-10975000,14,0.359563,0.20701
A01-10900001-11000000,14,0.359563,0.20701
A01-10925001-11025000,17,0.415588,0.258958
A01-10950001-11050000,22,0.413074,0.294282
A01-10975001-11075000,18,0.351877,0.260155
A01-11000001-11100000,24,0.297719,0.217871
A01-11025001-11125000,29,0.204977,0.160984
A01-11050001-11150000,27,0.181267,0.122599
A01-11075001-11175000,23,0.119386,0.035512
A01-11100001-11200000,17,0.120244,0.0159208
A01-11125001-11225000,8,0.0862064,-0.0813621
A01-11150001-11250000,3,-0.470286,-0.489985
A01-11200001-11300000,1,0.0355848,0.0355848
A01-11225001-11325000,1,0.0355848,0.0355848
A01-11250001-11350000,1,0.0355848,0.0355848
A01-11275001-11375000,1,0.0355848,0.0355848
A01-11300001-11400000,11,0.0907583,0.0758441
A01-11325001-11425000,15,0.092756,0.0709716
A01-11350001-11450000,15,0.092756,0.0709716
A01-11375001-11475000,18,0.109783,0.0789699
A01-11400001-11500000,7,0.153003,0.083882
A01-11425001-11525000,7,0.160381,0.0764541
A01-11450001-11550000,7,0.160381,0.0764541
A01-11475001-11575000,4,0.112966,0.0445734
A01-11500001-11600000,4,0.112966,0.0445734
A01-11575001-11675000,4,0.600924,0.548616
A01-11600001-11700000,4,0.600924,0.548616
A01-11625001-11725000,6,0.523941,0.387318
A01-11650001-11750000,9,0.475777,0.257528
A01-11675001-11775000,5,0.0667321,0.0246573
A01-11700001-11800000,5,0.0667321,0.0246573
A01-11725001-11825000,3,0.0120586,-0.00205254
A01-11750001-11850000,7,0.188628,0.109377
A01-11775001-11875000,7,0.188628,0.109377
A01-11800001-11900000,11,0.23458,0.136381
A01-11825001-11925000,13,0.270357,0.190823
A01-11850001-11950000,6,0.346147,0.285843
A01-11875001-11975000,12,0.314283,0.212123
A01-11900001-12000000,8,0.317325,0.226366
A01-11925001-12025000,6,0.281488,0.138403
A01-11950001-12050000,6,0.281488,0.138403
A01-12050001-12150000,2,-0.0805479,-0.0651572
A01-12075001-12175000,2,-0.0805479,-0.0651572
A01-12100001-12200000,2,-0.0805479,-0.0651572
A01-12125001-12225000,8,0.322833,0.254742
A01-12150001-12250000,8,0.37869,0.290367
A01-12175001-12275000,8,0.37869,0.290367
A01-12200001-12300000,8,0.37869,0.290367
A01-12225001-12325000,2,0.0868091,0.0773419
A01-12325001-12425000,11,0.391534,0.227774
A01-12350001-12450000,11,0.391534,0.227774
A01-12375001-12475000,11,0.391534,0.227774
A01-12400001-12500000,11,0.391534,0.227774
A01-12425001-12525000,1,0.0398209,0.0398209
A01-12450001-12550000,1,0.0398209,0.0398209
A01-12475001-12575000,1,0.0398209,0.0398209
A01-12500001-12600000,9,0.312176,0.282774
A01-12525001-12625000,14,0.283015,0.194753
A01-12550001-12650000,20,0.263212,0.19329
A01-12575001-12675000,27,0.306022,0.190514
A01-12600001-12700000,19,0.290498,0.138881
A01-12625001-12725000,13,0.332925,0.18595
A01-12650001-12750000,7,0.444758,0.182584
A01-12750001-12850000,1,0.189559,0.189559
A01-12775001-12875000,1,0.189559,0.189559
A01-12800001-12900000,1,0.189559,0.189559
A01-12825001-12925000,1,0.189559,0.189559
A01-12975001-13075000,4,0.484011,0.342027
A01-13000001-13100000,4,0.484011,0.342027
A01-13025001-13125000,9,0.499416,0.368069
A01-13050001-13150000,10,0.478168,0.336167
A01-13075001-13175000,20,0.308372,0.106089
A01-13100001-13200000,20,0.308372,0.106089
A01-13125001-13225000,15,0.0417665,0.011818
A01-13150001-13250000,14,0.0408544,0.00915841
A01-13225001-13325000,11,0.1071,0.0586078
A01-13250001-13350000,11,0.1071,0.0586078
A01-13275001-13375000,11,0.1071,0.0586078
A01-13300001-13400000,11,0.1071,0.0586078
A01-13375001-13475000,1,0.194101,0.194101
A01-13400001-13500000,18,0.224662,0.133636
A01-13425001-13525000,18,0.224662,0.133636
A01-13450001-13550000,18,0.224662,0.133636
A01-13475001-13575000,17,0.227036,0.130079
A01-13600001-13700000,1,0.53903,0.53903
A01-13625001-13725000,1,0.53903,0.53903
A01-13650001-13750000,1,0.53903,0.53903
A01-13675001-13775000,1,0.53903,0.53903
A01-13850001-13950000,2,0.00138998,-0.00348102
A01-13875001-13975000,2,0.00138998,-0.00348102
A01-13900001-14000000,2,0.00138998,-0.00348102
A01-13925001-14025000,2,0.00138998,-0.00348102
A01-14000001-14100000,7,0.419789,0.243356
A01-14025001-14125000,7,0.419789,0.243356
A01-14050001-14150000,7,0.419789,0.243356
A01-14075001-14175000,7,0.419789,0.243356
A01-14100001-14200000,17,0.588125,0.504737
A01-14125001-14225000,17,0.588125,0.504737
A01-14150001-14250000,19,0.57525,0.452316
A01-14175001-14275000,21,0.546953,0.415861
A01-14200001-14300000,4,0.0705815,0.0381407
A01-14225001-14325000,4,0.0705815,0.0381407
A01-14250001-14350000,2,0.0883444,0.069539
A01-14275001-14375000,7,0.0339104,-0.0111444
A01-14300001-14400000,24,0.219368,0.152878
A01-14325001-14425000,35,0.327903,0.200556
A01-14350001-14450000,35,0.327903,0.200556
A01-14375001-14475000,31,0.361541,0.25007
A01-14400001-14500000,14,0.46443,0.286077
A01-14425001-14525000,5,0.276507,0.237849
A01-14450001-14550000,5,0.276507,0.237849
A01-14475001-14575000,4,0.230563,0.189198
A01-14500001-14600000,4,0.230563,0.189198
A01-14525001-14625000,2,0.129616,0.111119
A01-14550001-14650000,2,0.129616,0.111119
A01-14625001-14725000,1,0.0494418,0.0494418
A01-14650001-14750000,1,0.0494418,0.0494418
A01-14675001-14775000,1,0.0494418,0.0494418
A01-14700001-14800000,1,0.0494418,0.0494418
A01-14725001-14825000,2,0.0421471,0.0372409
A01-14750001-14850000,2,0.0421471,0.0372409
A01-14775001-14875000,2,0.0421471,0.0372409
A01-14800001-14900000,5,0.240527,0.160913
A01-14825001-14925000,3,0.352361,0.243361
A01-14850001-14950000,3,0.352361,0.243361
A01-14875001-14975000,15,0.218587,0.168466
A01-14900001-15000000,12,0.188286,0.149742
A01-14925001-15025000,15,0.193267,0.139612
A01-14950001-15050000,15,0.193267,0.139612
A01-14975001-15075000,3,0.214753,0.0990909
A01-15000001-15100000,3,0.214753,0.0990909
A01-15050001-15150000,2,-0.0298982,-0.0298982
A01-15075001-15175000,5,0.00497225,-0.0121518
A01-15100001-15200000,5,0.00497225,-0.0121518
A01-15125001-15225000,5,0.00497225,-0.0121518
A01-15150001-15250000,4,0.0159415,0.012604
A01-15175001-15275000,1,0.0513788,0.0513788
A01-15200001-15300000,1,0.0513788,0.0513788
A01-15225001-15325000,2,0.0158184,0.0124261
A01-15250001-15350000,1,-0.0265265,-0.0265265
A01-15275001-15375000,3,-0.0215392,-0.0214266
A01-15300001-15400000,3,-0.0215392,-0.0214266
A01-15325001-15425000,2,-0.0184099,-0.0188766
A01-15350001-15450000,2,-0.0184099,-0.0188766
A01-15525001-15625000,6,0.158297,0.0538579
A01-15550001-15650000,6,0.158297,0.0538579
A01-15575001-15675000,11,0.300295,0.16516
A01-15600001-15700000,15,0.259278,0.134971
A01-15625001-15725000,9,0.291753,0.189047
A01-15650001-15750000,12,0.292031,0.207451
A01-15675001-15775000,7,0.218138,0.142256
A01-15700001-15800000,7,0.239809,0.170552
A01-15725001-15825000,7,0.239809,0.170552
A01-15750001-15850000,4,0.176439,0.101469
A01-15775001-15875000,14,0.239479,0.193886
A01-15800001-15900000,10,0.257364,0.230853
A01-15825001-15925000,24,0.226687,0.171633
A01-15850001-15950000,27,0.223259,0.163626
A01-15875001-15975000,17,0.189026,0.12408
A01-15900001-16000000,32,0.329292,0.179904
A01-15925001-16025000,27,0.312977,0.180213
A01-15950001-16050000,24,0.323779,0.190294
A01-15975001-16075000,24,0.323779,0.190294
A01-16000001-16100000,14,0.124128,0.101191
A01-16025001-16125000,5,0.111086,0.0994357
A01-16050001-16150000,5,0.111086,0.0994357
A01-16075001-16175000,17,0.196549,0.142144
A01-16100001-16200000,12,0.237053,0.159939
A01-16125001-16225000,12,0.237053,0.159939
A01-16150001-16250000,23,0.171303,0.118156
A01-16175001-16275000,11,0.104282,0.0725754
A01-16200001-16300000,15,0.103852,0.080191
A01-16225001-16325000,22,0.0963962,0.0673366
A01-16250001-16350000,11,0.0828908,0.0620979
A01-16275001-16375000,14,0.0758332,0.056581
A01-16300001-16400000,11,0.060011,0.0313876
A01-16325001-16425000,4,0.0420267,0.0166807
A01-16350001-16450000,4,0.0420267,0.0166807
A01-16375001-16475000,1,-0.0423348,-0.0423348
A01-16475001-16575000,2,0.0846565,0.0801859
A01-16500001-16600000,5,0.262271,0.223955
A01-16525001-16625000,13,0.27127,0.206115
A01-16550001-16650000,13,0.27127,0.206115
A01-16575001-16675000,11,0.296094,0.229011
A01-16600001-16700000,12,0.269077,0.204649
A01-16625001-16725000,4,0.251326,0.224017
A01-16650001-16750000,8,0.187577,0.157886
A01-16675001-16775000,8,0.187577,0.157886
A01-16700001-16800000,5,0.108488,0.0635495
A01-16725001-16825000,9,0.173939,0.0900856
A01-16750001-16850000,5,0.225528,0.0887496
A01-16775001-16875000,5,0.225528,0.0887496
A01-16800001-16900000,6,0.20207,0.112582
A01-16825001-16925000,6,0.0631197,0.0572689
A01-16850001-16950000,6,0.0631197,0.0572689
A01-16875001-16975000,8,0.0624786,0.0450278
A01-16900001-17000000,6,0.0460077,0.0296255
A01-16925001-17025000,9,0.0805405,0.021947
A01-16950001-17050000,11,0.0814515,0.0281457
