CHROM-BIN_START-BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST
A01-3025001-3125000,10,0.231686,0.142093
A01-3050001-3150000,7,0.103538,0.100265
A01-3075001-3175000,8,0.0895517,0.0904022
A01-3100001-3200000,6,0.292407,0.262198
A01-3125001-3225000,7,0.277971,0.240621
A01-3150001-3250000,8,0.275771,0.210439
A01-3175001-3275000,6,0.38886,0.271514
A01-3200001-3300000,3,0.212558,0.13357
A01-3225001-3325000,1,-0.000834383,-0.000834383
A01-3250001-3350000,2,0.433047,0.428854
A01-3275001-3375000,7,0.312306,0.305045
A01-3300001-3400000,8,0.305794,0.296231
A01-3325001-3425000,8,0.305794,0.296231
A01-3350001-3450000,6,0.25489,0.252023
A01-3375001-3475000,1,0.234527,0.234527
A01-3400001-3500000,6,0.0450723,0.047836
A01-3425001-3525000,28,0.192576,0.12064
A01-3450001-3550000,28,0.192576,0.12064
A01-3475001-3575000,28,0.192576,0.12064
A01-3500001-3600000,22,0.209005,0.140495
A01-3525001-3625000,4,0.150989,0.158658
A01-3550001-3650000,4,0.150989,0.158658
A01-3575001-3675000,4,0.150989,0.158658
A01-3600001-3700000,4,0.150989,0.158658
A01-3625001-3725000,1,0.0897295,0.0897295
A01-3650001-3750000,3,0.0574338,0.0577997
A01-3675001-3775000,3,0.0574338,0.0577997
A01-3700001-3800000,3,0.0574338,0.0577997
A01-3725001-3825000,3,0.00373486,0.022382
A01-3750001-3850000,2,0.0669696,0.0532545
A01-3775001-3875000,6,0.0841214,0.0661114
A01-3800001-3900000,8,0.0667994,0.0457329
A01-3825001-3925000,7,0.0791778,0.0546268
A01-3850001-3950000,8,0.15557,0.107555
A01-3875001-3975000,4,0.209318,0.14257
A01-3900001-4000000,2,0.299991,0.300543
A01-3925001-4025000,8,0.153596,0.143705
A01-3950001-4050000,21,0.093206,0.0974181
A01-3975001-4075000,22,0.0845977,0.091493
A01-4000001-4100000,24,0.0785311,0.0824518
A01-4025001-4125000,18,0.0730404,0.0794603
A01-4050001-4150000,3,-0.026339,-0.022312
A01-4075001-4175000,6,0.156399,0.112241
A01-4100001-4200000,7,0.226897,0.184316
A01-4125001-4225000,17,0.166032,0.0988068
A01-4150001-4250000,18,0.164428,0.0934065
A01-4175001-4275000,14,0.142494,0.0695622
A01-4200001-4300000,11,0.0797902,0.0355551
A01-4225001-4325000,1,0.0016,0.0016
A01-4250001-4350000,10,0.33147,0.256071
A01-4275001-4375000,10,0.33147,0.256071
A01-4300001-4400000,16,0.29617,0.231708
A01-4325001-4425000,16,0.29617,0.231708
A01-4350001-4450000,6,0.238813,0.191102
A01-4375001-4475000,6,0.238813,0.191102
A01-4450001-4550000,3,0.16496,0.159418
A01-4475001-4575000,3,0.16496,0.159418
A01-4500001-4600000,5,0.154077,0.144815
A01-4525001-4625000,5,0.154077,0.144815
A01-4550001-4650000,2,0.137139,0.122911
A01-4575001-4675000,2,0.137139,0.122911
A01-4650001-4750000,18,0.405938,0.225781
A01-4675001-4775000,18,0.405938,0.225781
A01-4700001-4800000,18,0.405938,0.225781
A01-4725001-4825000,18,0.405938,0.225781
A01-4775001-4875000,1,0.0392286,0.0392286
A01-4800001-4900000,8,0.127557,0.0935861
A01-4825001-4925000,8,0.127557,0.0935861
A01-4850001-4950000,14,0.50389,0.292833
A01-4875001-4975000,13,0.509998,0.312341
A01-4900001-5000000,6,0.74285,0.558495
A01-4925001-5025000,6,0.74285,0.558495
A01-5000001-5100000,10,0.252274,0.223477
A01-5025001-5125000,19,0.277244,0.244092
A01-5050001-5150000,19,0.277244,0.244092
A01-5075001-5175000,21,0.310767,0.261113
A01-5100001-5200000,11,0.355936,0.295326
A01-5125001-5225000,2,0.56154,0.422808
A01-5150001-5250000,2,0.56154,0.422808
A01-5175001-5275000,4,0.219893,0.221015
A01-5200001-5300000,28,0.262323,0.197972
A01-5225001-5325000,28,0.262323,0.197972
A01-5250001-5350000,29,0.255718,0.191693
A01-5275001-5375000,25,0.261425,0.187002
A01-5300001-5400000,1,0.0158939,0.0158939
A01-5325001-5425000,10,0.0736562,0.0668623
A01-5350001-5450000,9,0.0809559,0.0725254
A01-5375001-5475000,14,0.117592,0.10602
A01-5400001-5500000,14,0.117592,0.10602
A01-5425001-5525000,5,0.15778,0.166311
A01-5450001-5550000,5,0.15778,0.166311
A01-5500001-5600000,11,0.243069,0.202724
A01-5525001-5625000,14,0.218475,0.177664
A01-5550001-5650000,14,0.218475,0.177664
A01-5575001-5675000,14,0.218475,0.177664
A01-5600001-5700000,3,0.067789,0.0857769
A01-5675001-5775000,4,0.139422,0.168085
A01-5700001-5800000,4,0.139422,0.168085
A01-5725001-5825000,14,0.106541,0.124346
A01-5750001-5850000,15,0.100225,0.114681
A01-5775001-5875000,11,0.0868807,0.0952614
A01-5800001-5900000,22,0.0869445,0.0781866
A01-5825001-5925000,16,0.0729417,0.0517454
A01-5850001-5950000,15,0.0781681,0.0565705
A01-5875001-5975000,15,0.0781681,0.0565705
A01-5900001-6000000,4,0.0573031,0.0440819
A01-5950001-6050000,7,0.16207,0.124615
A01-5975001-6075000,8,0.151247,0.119033
A01-6000001-6100000,11,0.0771398,0.0849324
A01-6025001-6125000,11,0.0771398,0.0849324
A01-6050001-6150000,4,-0.00283964,0.0154886
A01-6075001-6175000,9,0.139117,0.124796
A01-6100001-6200000,6,0.225054,0.190196
A01-6125001-6225000,6,0.225054,0.190196
A01-6150001-6250000,6,0.225054,0.190196
A01-6200001-6300000,12,0.137414,0.127865
A01-6225001-6325000,12,0.137414,0.127865
A01-6250001-6350000,12,0.137414,0.127865
A01-6275001-6375000,18,0.162161,0.148843
A01-6300001-6400000,6,0.200885,0.190799
A01-6325001-6425000,6,0.200885,0.190799
A01-6350001-6450000,9,0.206897,0.182345
A01-6375001-6475000,6,0.128754,0.0838585
A01-6400001-6500000,6,0.128754,0.0838585
A01-6425001-6525000,6,0.128754,0.0838585
A01-6450001-6550000,3,-0.0162588,0.00227887
A01-6475001-6575000,14,0.356629,0.254771
A01-6500001-6600000,14,0.356629,0.254771
A01-6525001-6625000,14,0.356629,0.254771
A01-6550001-6650000,14,0.356629,0.254771
A01-6575001-6675000,1,0.160882,0.160882
A01-6600001-6700000,8,0.0809908,0.0631108
A01-6625001-6725000,10,0.0798994,0.0628959
A01-6650001-6750000,10,0.0798994,0.0628959
A01-6675001-6775000,9,0.0737405,0.0520086
A01-6700001-6800000,6,0.0543772,0.0544206
A01-6725001-6825000,4,0.0359534,0.0506128
A01-6750001-6850000,4,0.0359534,0.0506128
A01-6775001-6875000,4,0.0359534,0.0506128
A01-6800001-6900000,18,0.102031,0.0960887
A01-6825001-6925000,18,0.102031,0.0960887
A01-6850001-6950000,18,0.102031,0.0960887
A01-6875001-6975000,18,0.102031,0.0960887
A01-6975001-7075000,18,0.224465,0.163366
A01-7000001-7100000,21,0.217325,0.15735
A01-7025001-7125000,21,0.217325,0.15735
A01-7050001-7150000,21,0.217325,0.15735
A01-7075001-7175000,6,0.153404,0.114549
A01-7100001-7200000,3,0.147376,0.107845
A01-7125001-7225000,3,0.147376,0.107845
A01-7150001-7250000,5,0.169429,0.114257
A01-7175001-7275000,2,0.228724,0.123874
A01-7200001-7300000,2,0.228724,0.123874
A01-7225001-7325000,2,0.228724,0.123874
A01-7375001-7475000,4,0.270521,0.244429
A01-7400001-7500000,7,0.184145,0.166172
A01-7425001-7525000,17,0.209783,0.139298
A01-7450001-7550000,26,0.244932,0.186651
A01-7475001-7575000,25,0.359257,0.222995
A01-7500001-7600000,22,0.401799,0.244972
A01-7525001-7625000,19,0.482692,0.350231
A01-7550001-7650000,10,0.58838,0.416954
A01-7575001-7675000,7,0.456451,0.352838
A01-7600001-7700000,10,0.362552,0.284972
A01-7625001-7725000,12,0.119343,0.1352
A01-7650001-7750000,17,0.286444,0.212152
A01-7675001-7775000,21,0.251104,0.196827
A01-7700001-7800000,20,0.258102,0.192744
A01-7725001-7825000,19,0.280285,0.223107
A01-7750001-7850000,14,0.190669,0.16106
A01-7775001-7875000,11,0.233549,0.189981
A01-7800001-7900000,12,0.275006,0.218071
A01-7825001-7925000,7,0.247026,0.200331
A01-7850001-7950000,7,0.247026,0.200331
A01-7875001-7975000,16,0.125431,0.119009
A01-7900001-8000000,24,0.156269,0.119649
A01-7925001-8025000,27,0.204287,0.1456
A01-7950001-8050000,37,0.246616,0.149213
A01-7975001-8075000,27,0.317749,0.172493
A01-8000001-8100000,16,0.360235,0.191341
A01-8025001-8125000,15,0.330988,0.175031
A01-8050001-8150000,26,0.268251,0.219902
A01-8075001-8175000,29,0.253329,0.21024
A01-8100001-8200000,29,0.253329,0.21024
A01-8125001-8225000,24,0.259049,0.210883
A01-8150001-8250000,3,0.0977618,0.126498
A01-8325001-8425000,9,0.0120577,0.0407657
A01-8350001-8450000,11,0.14331,0.114518
A01-8375001-8475000,11,0.14331,0.114518
A01-8400001-8500000,17,0.123088,0.089506
A01-8425001-8525000,8,0.269602,0.144339
A01-8450001-8550000,12,0.0991322,0.078736
A01-8475001-8575000,20,0.326618,0.192553
A01-8500001-8600000,14,0.384948,0.256368
A01-8525001-8625000,14,0.384948,0.256368
A01-8550001-8650000,11,0.415926,0.318519
A01-8575001-8675000,11,0.14718,0.141948
A01-8600001-8700000,13,0.144103,0.135079
A01-8625001-8725000,13,0.144103,0.135079
A01-8650001-8750000,10,0.118424,0.115855
A01-8675001-8775000,2,0.109055,0.0973027
A01-8725001-8825000,9,0.0564542,0.0299479
A01-8750001-8850000,9,0.0564542,0.0299479
A01-8775001-8875000,9,0.0564542,0.0299479
A01-8800001-8900000,9,0.0564542,0.0299479
A01-8950001-9050000,4,0.130018,0.149679
A01-8975001-9075000,7,0.133184,0.112826
A01-9000001-9100000,7,0.133184,0.112826
A01-9025001-9125000,7,0.133184,0.112826
A01-9050001-9150000,3,0.138872,0.0636888
A01-9075001-9175000,10,0.151958,0.145437
A01-9100001-9200000,10,0.151958,0.145437
A01-9125001-9225000,15,0.166117,0.148868
A01-9150001-9250000,15,0.166117,0.148868
A01-9175001-9275000,29,0.148155,0.124215
A01-9200001-9300000,29,0.148155,0.124215
A01-9225001-9325000,26,0.159237,0.1346
A01-9250001-9350000,29,0.150433,0.118938
A01-9275001-9375000,5,0.231192,0.125121
A01-9300001-9400000,5,0.231192,0.125121
A01-9325001-9425000,5,6.36E-05,0.00389078
A01-9350001-9450000,6,0.162032,0.102303
A01-9375001-9475000,6,0.162032,0.102303
A01-9400001-9500000,6,0.162032,0.102303
A01-9425001-9525000,9,0.122344,0.070341
A01-9450001-9550000,5,-0.000404644,0.0178235
A01-9475001-9575000,5,-0.000404644,0.0178235
A01-9500001-9600000,6,5.57E-05,0.0166637
A01-9525001-9625000,1,0.0108647,0.0108647
A01-9550001-9650000,1,0.0108647,0.0108647
A01-9575001-9675000,7,0.247159,0.146486
A01-9600001-9700000,6,0.250811,0.16909
A01-9625001-9725000,6,0.250811,0.16909
A01-9650001-9750000,12,0.196193,0.125252
A01-9675001-9775000,6,0.106155,0.0814141
A01-9700001-9800000,12,0.068732,0.0476497
A01-9725001-9825000,12,0.068732,0.0476497
A01-9750001-9850000,6,0.0288224,0.0138854
A01-9775001-9875000,24,0.229176,0.153099
A01-9800001-9900000,18,0.273563,0.199504
A01-9825001-9925000,18,0.273563,0.199504
A01-9850001-9950000,18,0.273563,0.199504
A01-9875001-9975000,8,0.0958598,0.0867483
A01-9900001-10000000,8,0.0958598,0.0867483
A01-9925001-10025000,15,0.14696,0.113117
A01-9950001-10050000,15,0.14696,0.113117
A01-9975001-10075000,7,0.209691,0.143253
A01-10000001-10100000,9,0.196412,0.138018
A01-10025001-10125000,2,0.144817,0.119694
A01-10050001-10150000,5,0.0965744,0.0880683
A01-10075001-10175000,5,0.0965744,0.0880683
A01-10100001-10200000,8,0.13158,0.116945
A01-10125001-10225000,9,0.247397,0.178694
A01-10150001-10250000,6,0.327501,0.234549
A01-10175001-10275000,6,0.327501,0.234549
A01-10200001-10300000,2,0.441982,0.360846
A01-10225001-10325000,5,0.0696733,0.0739124
A01-10250001-10350000,17,0.121622,0.120108
A01-10275001-10375000,17,0.121622,0.120108
A01-10300001-10400000,19,0.152643,0.144633
A01-10325001-10425000,17,0.194477,0.179171
A01-10350001-10450000,5,0.276525,0.27473
A01-10375001-10475000,5,0.276525,0.27473
A01-10400001-10500000,3,0.294469,0.207526
A01-10425001-10525000,1,0.00413307,0.00413307
A01-10450001-10550000,14,0.13775,0.0673449
A01-10475001-10575000,14,0.13775,0.0673449
A01-10500001-10600000,13,0.146735,0.0722074
A01-10525001-10625000,13,0.146735,0.0722074
A01-10550001-10650000,5,0.110647,0.0861371
A01-10575001-10675000,6,0.113109,0.092816
A01-10600001-10700000,6,0.113109,0.092816
A01-10625001-10725000,8,0.145729,0.12097
A01-10650001-10750000,3,0.175544,0.179025
A01-10675001-10775000,2,0.18492,0.205433
A01-10700001-10800000,14,0.126167,0.118091
A01-10725001-10825000,12,0.114692,0.103534
A01-10750001-10850000,12,0.114692,0.103534
A01-10775001-10875000,12,0.114692,0.103534
A01-10825001-10925000,2,0.615155,0.37272
A01-10850001-10950000,4,0.473902,0.249625
A01-10875001-10975000,15,0.326906,0.206694
A01-10900001-11000000,15,0.326906,0.206694
A01-10925001-11025000,17,0.211301,0.150687
A01-10950001-11050000,23,0.26062,0.162911
A01-10975001-11075000,20,0.280207,0.175155
A01-11000001-11100000,26,0.273735,0.185245
A01-11025001-11125000,31,0.280069,0.204671
A01-11050001-11150000,27,0.253292,0.193127
A01-11075001-11175000,24,0.217494,0.16225
A01-11100001-11200000,18,0.192991,0.143374
A01-11125001-11225000,9,0.100894,0.0939581
A01-11150001-11250000,5,0.110985,0.107528
A01-11200001-11300000,1,0.11954,0.11954
A01-11225001-11325000,1,0.11954,0.11954
A01-11250001-11350000,1,0.11954,0.11954
A01-11275001-11375000,1,0.11954,0.11954
A01-11300001-11400000,11,0.0271952,0.0395307
A01-11325001-11425000,15,0.0484416,0.0602887
A01-11350001-11450000,15,0.0484416,0.0602887
A01-11375001-11475000,18,0.0581533,0.066071
A01-11400001-11500000,7,0.142243,0.107777
A01-11425001-11525000,7,0.182347,0.141568
A01-11450001-11550000,7,0.182347,0.141568
A01-11475001-11575000,4,0.229933,0.176508
A01-11500001-11600000,4,0.229933,0.176508
A01-11575001-11675000,4,0.164163,0.173657
A01-11600001-11700000,4,0.164163,0.173657
A01-11625001-11725000,6,0.162692,0.149611
A01-11650001-11750000,9,0.133266,0.114119
A01-11675001-11775000,5,0.0858521,0.0664888
A01-11700001-11800000,5,0.0858521,0.0664888
A01-11725001-11825000,3,0.0477701,0.0431347
A01-11750001-11850000,8,0.241337,0.163576
A01-11775001-11875000,8,0.241337,0.163576
A01-11800001-11900000,12,0.23134,0.170001
A01-11825001-11925000,14,0.235302,0.182165
A01-11850001-11950000,6,0.229236,0.20695
A01-11875001-11975000,12,0.185647,0.152028
A01-11900001-12000000,8,0.160584,0.136616
A01-11925001-12025000,6,0.113902,0.0971065
A01-11950001-12050000,6,0.113902,0.0971065
A01-12050001-12150000,2,0.318979,0.24776
A01-12075001-12175000,2,0.318979,0.24776
A01-12100001-12200000,2,0.318979,0.24776
A01-12125001-12225000,8,0.15798,0.113351
A01-12150001-12250000,8,0.0954421,0.0803729
A01-12175001-12275000,8,0.0954421,0.0803729
A01-12200001-12300000,8,0.0954421,0.0803729
A01-12225001-12325000,2,0.140173,0.115848
A01-12325001-12425000,10,0.229324,0.206349
A01-12350001-12450000,10,0.229324,0.206349
A01-12375001-12475000,10,0.229324,0.206349
A01-12400001-12500000,10,0.229324,0.206349
A01-12425001-12525000,1,0.0501026,0.0501026
A01-12450001-12550000,1,0.0501026,0.0501026
A01-12475001-12575000,1,0.0501026,0.0501026
A01-12500001-12600000,9,0.165703,0.17877
A01-12525001-12625000,15,0.15617,0.15647
A01-12550001-12650000,21,0.166531,0.15937
A01-12575001-12675000,28,0.175019,0.168642
A01-12600001-12700000,20,0.172704,0.158157
A01-12625001-12725000,13,0.198114,0.182686
A01-12650001-12750000,7,0.196746,0.196458
A01-12750001-12850000,1,-0.0245513,-0.0245513
A01-12775001-12875000,1,-0.0245513,-0.0245513
A01-12800001-12900000,1,-0.0245513,-0.0245513
A01-12825001-12925000,1,-0.0245513,-0.0245513
A01-12975001-13075000,5,0.0911854,0.116755
A01-13000001-13100000,5,0.0911854,0.116755
A01-13025001-13125000,10,0.0544808,0.0695513
A01-13050001-13150000,11,0.0509061,0.0650457
A01-13075001-13175000,23,0.247752,0.183965
A01-13100001-13200000,23,0.247752,0.183965
A01-13125001-13225000,18,0.300991,0.228859
A01-13150001-13250000,17,0.317722,0.241145
A01-13225001-13325000,10,0.170269,0.105119
A01-13250001-13350000,10,0.170269,0.105119
A01-13275001-13375000,10,0.170269,0.105119
A01-13300001-13400000,10,0.170269,0.105119
A01-13375001-13475000,1,-0.0022059,-0.0022059
A01-13400001-13500000,18,0.262971,0.190413
A01-13425001-13525000,18,0.262971,0.190413
A01-13450001-13550000,18,0.262971,0.190413
A01-13475001-13575000,17,0.282136,0.201744
A01-13600001-13700000,1,0.125453,0.125453
A01-13625001-13725000,1,0.125453,0.125453
A01-13650001-13750000,1,0.125453,0.125453
A01-13675001-13775000,1,0.125453,0.125453
A01-13850001-13950000,2,0.147531,0.110222
A01-13875001-13975000,2,0.147531,0.110222
A01-13900001-14000000,2,0.147531,0.110222
A01-13925001-14025000,2,0.147531,0.110222
A01-14000001-14100000,7,0.291855,0.189403
A01-14025001-14125000,7,0.291855,0.189403
A01-14050001-14150000,7,0.291855,0.189403
A01-14075001-14175000,7,0.291855,0.189403
A01-14100001-14200000,17,0.355225,0.250212
A01-14125001-14225000,17,0.355225,0.250212
A01-14150001-14250000,20,0.406528,0.272184
A01-14175001-14275000,22,0.396685,0.265902
A01-14200001-14300000,5,0.520004,0.319247
A01-14225001-14325000,5,0.520004,0.319247
A01-14250001-14350000,2,0.280274,0.203081
A01-14275001-14375000,7,0.460029,0.26015
A01-14300001-14400000,24,0.311187,0.217124
A01-14325001-14425000,35,0.39817,0.248182
A01-14350001-14450000,35,0.39817,0.248182
A01-14375001-14475000,31,0.37429,0.250368
A01-14400001-14500000,14,0.485807,0.312249
A01-14425001-14525000,6,0.266095,0.205865
A01-14450001-14550000,6,0.266095,0.205865
A01-14475001-14575000,6,0.247757,0.157417
A01-14500001-14600000,6,0.247757,0.157417
A01-14525001-14625000,3,0.292275,0.201806
A01-14550001-14650000,3,0.292275,0.201806
A01-14625001-14725000,1,0.145105,0.145105
A01-14650001-14750000,1,0.145105,0.145105
A01-14675001-14775000,1,0.145105,0.145105
A01-14700001-14800000,1,0.145105,0.145105
A01-14725001-14825000,2,0.502382,0.377971
A01-14750001-14850000,2,0.502382,0.377971
A01-14775001-14875000,2,0.502382,0.377971
A01-14800001-14900000,5,0.385139,0.27184
A01-14825001-14925000,3,0.289656,0.201085
A01-14850001-14950000,3,0.289656,0.201085
A01-14875001-14975000,16,0.34568,0.20659
A01-14900001-15000000,13,0.364223,0.207861
A01-14925001-15025000,16,0.346046,0.195334
A01-14950001-15050000,16,0.346046,0.195334
A01-14975001-15075000,3,0.223857,0.141053
A01-15000001-15100000,3,0.223857,0.141053
A01-15050001-15150000,2,0.0141364,0.0141364
A01-15075001-15175000,5,0.733615,0.455817
A01-15100001-15200000,5,0.733615,0.455817
A01-15125001-15225000,5,0.733615,0.455817
A01-15150001-15250000,4,0.718907,0.590078
A01-15175001-15275000,1,0.1095,0.1095
A01-15200001-15300000,1,0.1095,0.1095
A01-15225001-15325000,2,0.0572064,0.0568336
A01-15250001-15350000,1,0.00416753,0.00416753
A01-15275001-15375000,3,0.0316043,0.0355356
A01-15300001-15400000,3,0.0316043,0.0355356
A01-15325001-15425000,2,0.051618,0.0512196
A01-15350001-15450000,2,0.051618,0.0512196
A01-15525001-15625000,7,0.244452,0.19861
A01-15550001-15650000,7,0.244452,0.19861
A01-15575001-15675000,13,0.14721,0.141835
A01-15600001-15700000,17,0.132017,0.11832
A01-15625001-15725000,10,0.051731,0.0621179
A01-15650001-15750000,13,0.0777388,0.0747438
A01-15675001-15775000,7,0.103204,0.074012
A01-15700001-15800000,7,0.110187,0.0996299
A01-15725001-15825000,7,0.110187,0.0996299
A01-15750001-15850000,4,0.0897472,0.0867297
A01-15775001-15875000,15,0.1684,0.148149
A01-15800001-15900000,11,0.190065,0.170484
A01-15825001-15925000,25,0.18114,0.140836
A01-15850001-15950000,28,0.182809,0.138645
A01-15875001-15975000,17,0.173473,0.118044
A01-15900001-16000000,33,0.24613,0.158842
A01-15925001-16025000,28,0.271185,0.189744
A01-15950001-16050000,25,0.278865,0.198067
A01-15975001-16075000,25,0.278865,0.198067
A01-16000001-16100000,14,0.228184,0.187651
A01-16025001-16125000,5,0.206262,0.182096
A01-16050001-16150000,5,0.206262,0.182096
A01-16075001-16175000,17,0.271689,0.21863
A01-16100001-16200000,12,0.309722,0.233852
A01-16125001-16225000,12,0.309722,0.233852
A01-16150001-16250000,23,0.350964,0.267384
A01-16175001-16275000,11,0.3849,0.303964
A01-16200001-16300000,15,0.346077,0.260167
A01-16225001-16325000,22,0.281491,0.202403
A01-16250001-16350000,11,0.100806,0.100841
A01-16275001-16375000,14,0.13225,0.114699
A01-16300001-16400000,11,0.201624,0.145552
A01-16325001-16425000,4,0.321098,0.26268
A01-16350001-16450000,4,0.321098,0.26268
A01-16375001-16475000,1,0.554179,0.554179
A01-16475001-16575000,3,0.185071,0.180503
A01-16500001-16600000,8,0.212323,0.2134
A01-16525001-16625000,17,0.182582,0.182438
A01-16550001-16650000,17,0.182582,0.182438
A01-16575001-16675000,14,0.182133,0.182853
A01-16600001-16700000,13,0.124152,0.11339
A01-16625001-16725000,4,0.0363879,0.0199565
A01-16650001-16750000,10,0.0566675,0.0635872
A01-16675001-16775000,10,0.0566675,0.0635872
A01-16700001-16800000,7,0.0718007,0.0872721
A01-16725001-16825000,11,0.0415117,0.0600414
A01-16750001-16850000,5,0.00739993,0.0208818
A01-16775001-16875000,5,0.00739993,0.0208818
A01-16800001-16900000,6,0.0568297,0.074058
A01-16825001-16925000,6,0.122224,0.114493
A01-16850001-16950000,6,0.122224,0.114493
A01-16875001-16975000,8,0.146088,0.138183
